order,id,date,time,title,url,visitCount,typedCount,transition
0,1766,8/29/2023,15:15:23,Export Chrome History - Chrome Web Store,https://chrome.google.com/webstore/detail/export-chrome-history/dihloblpkeiddiaojbagoecedbfpifdj/related,1,0,link
1,1763,8/29/2023,15:15:13,Export Chrome History - Chrome Web Store,https://chrome.google.com/webstore/detail/export-chrome-history/dihloblpkeiddiaojbagoecedbfpifdj,2,0,link
2,1764,8/29/2023,15:15:07,save browser history - Google Search,https://www.google.com/search?q=save+browser+history&sca_esv=560909571&rlz=1C1CHBD_enPH1059PH1059&ei=9ZntZNacHPKG4-EP3vGyuAE&ved=0ahUKEwiW6-aTqIGBAxVywzgGHd64DBcQ4dUDCBA&uact=5&oq=save+browser+history&gs_lp=Egxnd3Mtd2l6LXNlcnAiFHNhdmUgYnJvd3NlciBoaXN0b3J5MggQABiKBRiRAjIFEAAYgAQyBRAAGIAEMgYQABgWGB4yBhAAGBYYHjIIEAAYFhgeGA8yBhAAGBYYHjIGEAAYFhgeMgYQABgWGB4yBhAAGBYYHkjeHlAAWKYdcAB4AJABAJgBpQGgAZ8UqgEEMC4yMLgBA8gBAPgBAcICDhAAGIoFGLEDGIMBGJECwgIHEAAYigUYQ8ICERAuGIAEGLEDGIMBGMcBGNEDwgILEAAYgAQYsQMYgwHCAggQABiABBixA8ICERAuGIoFGLEDGMcBGNEDGJECwgIXEC4YgAQYsQMYgwEYxwEYrwEYmAUYmQXCAg0QLhiKBRjHARjRAxhDwgILEC4YgwEYsQMYgATCAggQLhiABBixA8ICDRAAGIoFGLEDGIMBGArCAgUQLhiABMICBxAAGIAEGAriAwQYACBBiAYB&sclient=gws-wiz-serp#ip=1,2,0,form_submit
3,1765,8/29/2023,15:12:53,How to save my browsing history - Quora,https://www.quora.com/How-can-I-save-my-browsing-history,1,0,link
4,1764,8/29/2023,15:12:51,save browser history - Google Search,https://www.google.com/search?q=save+browser+history&sca_esv=560909571&rlz=1C1CHBD_enPH1059PH1059&ei=9ZntZNacHPKG4-EP3vGyuAE&ved=0ahUKEwiW6-aTqIGBAxVywzgGHd64DBcQ4dUDCBA&uact=5&oq=save+browser+history&gs_lp=Egxnd3Mtd2l6LXNlcnAiFHNhdmUgYnJvd3NlciBoaXN0b3J5MggQABiKBRiRAjIFEAAYgAQyBRAAGIAEMgYQABgWGB4yBhAAGBYYHjIIEAAYFhgeGA8yBhAAGBYYHjIGEAAYFhgeMgYQABgWGB4yBhAAGBYYHkjeHlAAWKYdcAB4AJABAJgBpQGgAZ8UqgEEMC4yMLgBA8gBAPgBAcICDhAAGIoFGLEDGIMBGJECwgIHEAAYigUYQ8ICERAuGIAEGLEDGIMBGMcBGNEDwgILEAAYgAQYsQMYgwHCAggQABiABBixA8ICERAuGIoFGLEDGMcBGNEDGJECwgIXEC4YgAQYsQMYgwEYxwEYrwEYmAUYmQXCAg0QLhiKBRjHARjRAxhDwgILEC4YgwEYsQMYgATCAggQLhiABBixA8ICDRAAGIoFGLEDGIMBGArCAgUQLhiABMICBxAAGIAEGAriAwQYACBBiAYB&sclient=gws-wiz-serp#ip=1,2,0,link
5,1762,8/29/2023,15:12:38,save browser history - Google Search,https://www.google.com/search?q=save+browser+history&sca_esv=560909571&rlz=1C1CHBD_enPH1059PH1059&ei=9ZntZNacHPKG4-EP3vGyuAE&ved=0ahUKEwiW6-aTqIGBAxVywzgGHd64DBcQ4dUDCBA&uact=5&oq=save+browser+history&gs_lp=Egxnd3Mtd2l6LXNlcnAiFHNhdmUgYnJvd3NlciBoaXN0b3J5MggQABiKBRiRAjIFEAAYgAQyBRAAGIAEMgYQABgWGB4yBhAAGBYYHjIIEAAYFhgeGA8yBhAAGBYYHjIGEAAYFhgeMgYQABgWGB4yBhAAGBYYHkjeHlAAWKYdcAB4AJABAJgBpQGgAZ8UqgEEMC4yMLgBA8gBAPgBAcICDhAAGIoFGLEDGIMBGJECwgIHEAAYigUYQ8ICERAuGIAEGLEDGIMBGMcBGNEDwgILEAAYgAQYsQMYgwHCAggQABiABBixA8ICERAuGIoFGLEDGMcBGNEDGJECwgIXEC4YgAQYsQMYgwEYxwEYrwEYmAUYmQXCAg0QLhiKBRjHARjRAxhDwgILEC4YgwEYsQMYgATCAggQLhiABBixA8ICDRAAGIoFGLEDGIMBGArCAgUQLhiABMICBxAAGIAEGAriAwQYACBBiAYB&sclient=gws-wiz-serp,3,0,form_submit
6,1763,8/29/2023,15:12:27,Export Chrome History - Chrome Web Store,https://chrome.google.com/webstore/detail/export-chrome-history/dihloblpkeiddiaojbagoecedbfpifdj,2,0,link
7,1762,8/29/2023,15:12:16,save browser history - Google Search,https://www.google.com/search?q=save+browser+history&sca_esv=560909571&rlz=1C1CHBD_enPH1059PH1059&ei=9ZntZNacHPKG4-EP3vGyuAE&ved=0ahUKEwiW6-aTqIGBAxVywzgGHd64DBcQ4dUDCBA&uact=5&oq=save+browser+history&gs_lp=Egxnd3Mtd2l6LXNlcnAiFHNhdmUgYnJvd3NlciBoaXN0b3J5MggQABiKBRiRAjIFEAAYgAQyBRAAGIAEMgYQABgWGB4yBhAAGBYYHjIIEAAYFhgeGA8yBhAAGBYYHjIGEAAYFhgeMgYQABgWGB4yBhAAGBYYHkjeHlAAWKYdcAB4AJABAJgBpQGgAZ8UqgEEMC4yMLgBA8gBAPgBAcICDhAAGIoFGLEDGIMBGJECwgIHEAAYigUYQ8ICERAuGIAEGLEDGIMBGMcBGNEDwgILEAAYgAQYsQMYgwHCAggQABiABBixA8ICERAuGIoFGLEDGMcBGNEDGJECwgIXEC4YgAQYsQMYgwEYxwEYrwEYmAUYmQXCAg0QLhiKBRjHARjRAxhDwgILEC4YgwEYsQMYgATCAggQLhiABBixA8ICDRAAGIoFGLEDGIMBGArCAgUQLhiABMICBxAAGIAEGAriAwQYACBBiAYB&sclient=gws-wiz-serp,3,0,link
8,1762,8/29/2023,15:12:16,save browser history - Google Search,https://www.google.com/search?q=save+browser+history&sca_esv=560909571&rlz=1C1CHBD_enPH1059PH1059&ei=9ZntZNacHPKG4-EP3vGyuAE&ved=0ahUKEwiW6-aTqIGBAxVywzgGHd64DBcQ4dUDCBA&uact=5&oq=save+browser+history&gs_lp=Egxnd3Mtd2l6LXNlcnAiFHNhdmUgYnJvd3NlciBoaXN0b3J5MggQABiKBRiRAjIFEAAYgAQyBRAAGIAEMgYQABgWGB4yBhAAGBYYHjIIEAAYFhgeGA8yBhAAGBYYHjIGEAAYFhgeMgYQABgWGB4yBhAAGBYYHkjeHlAAWKYdcAB4AJABAJgBpQGgAZ8UqgEEMC4yMLgBA8gBAPgBAcICDhAAGIoFGLEDGIMBGJECwgIHEAAYigUYQ8ICERAuGIAEGLEDGIMBGMcBGNEDwgILEAAYgAQYsQMYgwHCAggQABiABBixA8ICERAuGIoFGLEDGMcBGNEDGJECwgIXEC4YgAQYsQMYgwEYxwEYrwEYmAUYmQXCAg0QLhiKBRjHARjRAxhDwgILEC4YgwEYsQMYgATCAggQLhiABBixA8ICDRAAGIoFGLEDGIMBGArCAgUQLhiABMICBxAAGIAEGAriAwQYACBBiAYB&sclient=gws-wiz-serp,3,0,form_submit
9,1761,8/29/2023,15:12:05,create log file of browser history - Google Search,https://www.google.com/search?q=create+log+file+of+browser+history&rlz=1C1CHBD_enPH1059PH1059&oq=create+log+file+of+browser+history&gs_lcrp=EgZjaHJvbWUyBggAEEUYOTIHCAEQIRigAdIBCDc2MTVqMGo3qAIAsAIA&sourceid=chrome&ie=UTF-8#ip=1,1,0,link
10,1759,8/29/2023,15:11:18,create log file of browser history - Google Search,https://www.google.com/search?q=create+log+file+of+browser+history&rlz=1C1CHBD_enPH1059PH1059&oq=create+log+file+of+browser+history&gs_lcrp=EgZjaHJvbWUyBggAEEUYOTIHCAEQIRigAdIBCDc2MTVqMGo3qAIAsAIA&sourceid=chrome&ie=UTF-8,3,0,generated
11,1760,8/29/2023,15:10:48,Chrome browser debug logs - Chrome Enterprise and Education Help,https://support.google.com/chrome/a/answer/6271282?hl=en,1,0,link
12,1759,8/29/2023,15:10:46,create log file of browser history - Google Search,https://www.google.com/search?q=create+log+file+of+browser+history&rlz=1C1CHBD_enPH1059PH1059&oq=create+log+file+of+browser+history&gs_lcrp=EgZjaHJvbWUyBggAEEUYOTIHCAEQIRigAdIBCDc2MTVqMGo3qAIAsAIA&sourceid=chrome&ie=UTF-8,3,0,link
